Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
49,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
50,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
51,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
52,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
53,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
54,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
55,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
56,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
57,0.000000,0.000000,0.977017,0.991749,0.987308,0.981603,0.966132,0.855852,0.968529,0.978038,0.981924,89.846064,
58,0.000000,0.000000,0.977037,0.991797,0.987377,0.981591,0.966146,0.855935,0.968539,0.978035,0.981918,89.849772,
59,0.000000,0.000000,0.977046,0.991810,0.987431,0.981573,0.966156,0.855973,0.968550,0.978038,0.981913,89.851510,
60,0.000101,0.000554,0.977043,0.991785,0.987357,0.981754,0.966056,0.856409,0.968669,0.978115,0.981947,89.857565,
61,0.000090,0.000101,0.977596,0.992299,0.988261,0.982654,0.966218,0.857492,0.969346,0.978622,0.982437,90.040823,
62,0.000090,0.000090,0.977652,0.992323,0.988264,0.982666,0.966335,0.857749,0.969488,0.978733,0.982485,90.062060,
63,0.000371,0.000371,0.977678,0.992366,0.988288,0.982647,0.966390,0.857487,0.969407,0.978682,0.982458,90.063380,
64,0.000094,0.000569,0.977652,0.992210,0.988143,0.982692,0.966392,0.857476,0.969307,0.978607,0.982451,90.053178,
65,0.000094,0.000094,0.977895,0.992272,0.988261,0.982918,0.966739,0.858269,0.969583,0.978793,0.982569,90.124211,
66,0.000096,0.000096,0.977901,0.992253,0.988266,0.982947,0.966734,0.858779,0.969654,0.978811,0.982578,90.127169,
67,0.000294,0.000294,0.978109,0.992394,0.988370,0.983081,0.967055,0.860392,0.970035,0.979050,0.982789,90.201026,
68,0.000902,0.004312,0.979314,0.992102,0.988708,0.984158,0.969044,0.865637,0.972139,0.980603,0.984036,90.637516,
69,0.000902,0.000902,0.979626,0.992334,0.988985,0.984130,0.969635,0.866886,0.972630,0.980984,0.984277,90.742871,
70,0.001032,0.001032,0.979654,0.992418,0.988960,0.984179,0.969658,0.867253,0.972702,0.981015,0.984274,90.750586,
71,0.003809,0.003809,0.979632,0.992291,0.989051,0.984124,0.969635,0.867371,0.972669,0.981014,0.984303,90.751517,
72,0.001707,0.008135,0.979440,0.992293,0.988613,0.984203,0.969305,0.867224,0.972515,0.980756,0.984065,90.676258,
73,0.001350,0.001707,0.979658,0.992424,0.988719,0.984398,0.969606,0.868181,0.972829,0.980994,0.984294,90.752819,
74,0.001350,0.001350,0.979803,0.992687,0.989122,0.984243,0.969835,0.875101,0.974845,0.982223,0.985231,90.920507,
75,0.006549,0.011735,0.979841,0.992578,0.989419,0.984152,0.969889,0.875306,0.975047,0.982393,0.985543,90.968774,
76,0.001048,0.006549,0.979814,0.992663,0.989167,0.984387,0.969739,0.875152,0.974970,0.982373,0.985359,90.939622,
77,0.000840,0.001048,0.979860,0.992776,0.989123,0.984311,0.969899,0.875672,0.975118,0.982481,0.985454,90.962364,
78,0.000840,0.000840,0.979853,0.992757,0.989023,0.984357,0.969895,0.875981,0.975164,0.982500,0.985487,90.964435,
79,0.005203,0.005367,0.979760,0.992818,0.988955,0.984067,0.969900,0.876405,0.975230,0.982547,0.985493,90.952894,
80,0.000927,0.005203,0.980303,0.993348,0.989880,0.984967,0.970024,0.881911,0.977801,0.984491,0.986920,91.274556,
81,0.000531,0.000927,0.980314,0.993406,0.989866,0.984971,0.970041,0.881984,0.977684,0.984428,0.986827,91.265813,
82,0.000531,0.000531,0.980334,0.993452,0.989828,0.985022,0.970058,0.882171,0.977728,0.984465,0.986893,91.277209,
83,0.002982,0.005115,0.980289,0.993691,0.989766,0.984938,0.969986,0.882243,0.977701,0.984415,0.986872,91.266790,
84,0.000353,0.002982,0.980380,0.993744,0.989861,0.985137,0.970004,0.882392,0.977816,0.984496,0.986936,91.292014,
85,0.000172,0.000353,0.980414,0.994029,0.989887,0.984851,0.970219,0.883818,0.978199,0.984717,0.987034,91.318415,
86,0.000172,0.000172,0.980218,0.994305,0.989974,0.984229,0.970108,0.889044,0.979551,0.985410,0.987418,91.342700,
87,0.001773,0.002592,0.980211,0.994357,0.989933,0.984194,0.970123,0.889057,0.979581,0.985439,0.987482,91.349898,
88,0.000265,0.001773,0.980244,0.994403,0.990025,0.984262,0.970103,0.889134,0.979621,0.985462,0.987481,91.356173,
89,0.000064,0.000265,0.980252,0.994415,0.990012,0.984201,0.970170,0.889456,0.979674,0.985476,0.987525,91.362062,
90,0.000064,0.000064,0.980263,0.994524,0.989995,0.984210,0.970171,0.889616,0.979697,0.985495,0.987515,91.364443,
91,0.001440,0.001653,0.980208,0.994491,0.989962,0.984118,0.970131,0.889717,0.979707,0.985501,0.987527,91.355770,
92,0.000318,0.001440,0.980213,0.994532,0.989974,0.984163,0.970093,0.889818,0.979740,0.985501,0.987515,91.354348,
93,0.000076,0.000318,0.980031,0.994972,0.989653,0.983752,0.970001,0.896539,0.981550,0.986502,0.988228,91.423819,
94,0.000076,0.000076,0.980026,0.994979,0.989617,0.983731,0.970018,0.896712,0.981588,0.986503,0.988238,91.423824,
95,0.001120,0.001120,0.980001,0.994994,0.989622,0.983677,0.969993,0.896704,0.981587,0.986510,0.988235,91.419827,
96,0.000271,0.002116,0.979938,0.995027,0.989317,0.983632,0.969997,0.896437,0.981504,0.986356,0.988194,91.394536,
97,0.000047,0.000271,0.979911,0.995026,0.989225,0.983603,0.969992,0.896698,0.981578,0.986395,0.988176,91.388949,
98,0.000047,0.000047,0.979921,0.995114,0.989212,0.983601,0.970004,0.896744,0.981602,0.986417,0.988184,91.392880,
99,0.001551,0.002384,0.979883,0.995107,0.989129,0.983510,0.970017,0.896674,0.981686,0.986626,0.988229,91.399909,
100,0.000199,0.001551,0.979956,0.995095,0.989131,0.983623,0.970107,0.896683,0.981738,0.986632,0.988305,91.420265,
101,0.000065,0.000199,0.979889,0.995166,0.989051,0.983550,0.970021,0.896728,0.981679,0.986596,0.988294,91.402932,
102,0.000065,0.000065,0.979885,0.995152,0.989025,0.983538,0.970035,0.896766,0.981688,0.986593,0.988275,91.400551,
103,0.001609,0.001991,0.979891,0.995098,0.988884,0.983656,0.970033,0.896681,0.981634,0.986680,0.988276,91.407467,
104,0.000417,0.001609,0.979926,0.995076,0.988936,0.983689,0.970075,0.896674,0.981606,0.986660,0.988289,91.413499,
105,0.000045,0.000417,0.980023,0.995126,0.988968,0.983778,0.970216,0.897408,0.981815,0.986818,0.988433,91.453458,
106,0.000045,0.000045,0.980655,0.995218,0.989151,0.984349,0.971200,0.901849,0.982922,0.987549,0.988958,91.669833,
107,0.001200,0.001200,0.980703,0.995252,0.989166,0.984372,0.971281,0.902175,0.982982,0.987605,0.989005,91.688250,
108,0.000602,0.001894,0.980710,0.995194,0.989156,0.984396,0.971299,0.902480,0.983023,0.987585,0.988966,91.685387,
109,0.000131,0.000602,0.980915,0.995284,0.989184,0.984487,0.971685,0.903330,0.983209,0.987748,0.989102,91.747980,
110,0.000131,0.000131,0.980921,0.995285,0.989203,0.984499,0.971683,0.903990,0.983303,0.987792,0.989113,91.752654,
111,0.001734,0.001734,0.980979,0.995317,0.989253,0.984533,0.971769,0.905074,0.983501,0.987914,0.989217,91.782151,
112,0.001565,0.003097,0.981197,0.995322,0.989231,0.984903,0.972022,0.908496,0.984085,0.988255,0.989561,91.874525,
113,0.000779,0.001565,0.981240,0.995222,0.989429,0.984932,0.972042,0.908790,0.984129,0.988162,0.989528,91.876334,
114,0.000779,0.000779,0.981208,0.995312,0.989290,0.984890,0.972034,0.908526,0.984073,0.988237,0.989559,91.874887,
115,0.000001,0.001033,0.981174,0.995312,0.989211,0.984878,0.971996,0.908545,0.984068,0.988232,0.989543,91.864893,
116,0.000001,0.000001,0.981174,0.995312,0.989211,0.984878,0.971996,0.908548,0.984074,0.988234,0.989548,91.865459,
117,0.000000,0.000001,0.981209,0.995320,0.989219,0.984882,0.972072,0.908601,0.984089,0.988247,0.989552,91.874135,
118,0.000000,0.000000,0.981206,0.995317,0.989221,0.984873,0.972071,0.908612,0.984089,0.988248,0.989554,91.873657,
119,0.000000,0.000000,0.235465,0.560312,0.256442,0.201504,0.179835,0.322097,0.310608,0.287628,0.260484,0.000000,
120,0.000000,0.000000,0.235457,0.560316,0.256409,0.201504,0.179829,0.322095,0.310608,0.287629,0.260484,0.000000,
121,0.000023,0.000023,0.235454,0.560326,0.256406,0.201504,0.179823,0.322094,0.310608,0.287632,0.260484,0.000000,
122,0.002466,73.234612,0.970001,0.973945,0.968975,0.962066,0.974046,0.630195,0.843378,0.895151,0.925089,80.505651,
123,0.000568,0.002466,0.969886,0.974023,0.969051,0.962035,0.973777,0.630238,0.843394,0.895218,0.925082,80.480808,
124,0.000486,0.000568,0.970819,0.974167,0.969692,0.963542,0.974648,0.635379,0.848637,0.899188,0.927789,81.027144,
125,0.000486,0.000486,0.975312,0.975600,0.973376,0.971359,0.978162,0.654381,0.871564,0.915777,0.938994,83.466608,
126,0.002283,0.002283,0.975289,0.975532,0.973328,0.971461,0.978086,0.654483,0.871773,0.915880,0.939102,83.476413,
127,0.000740,0.004227,0.975304,0.975511,0.973316,0.971539,0.978081,0.654306,0.871685,0.915813,0.939036,83.470018,
128,0.000625,0.000740,0.975717,0.975578,0.973726,0.972359,0.978337,0.657304,0.874409,0.917729,0.940351,83.733194,
129,0.000625,0.000625,0.976114,0.975684,0.974104,0.973027,0.978647,0.659853,0.876847,0.919345,0.941344,83.957254,
130,0.004167,0.004167,0.976735,0.975812,0.974685,0.974259,0.979035,0.663040,0.880722,0.922083,0.943262,84.351213,
131,0.001499,0.008004,0.977684,0.976463,0.975978,0.976137,0.979401,0.669594,0.889602,0.928628,0.947677,85.158727,
132,0.001068,0.001499,0.977790,0.976488,0.976113,0.976213,0.979530,0.670763,0.890358,0.929086,0.948011,85.224684,
133,0.001068,0.001068,0.977879,0.976497,0.976198,0.976334,0.979618,0.671533,0.891033,0.929509,0.948264,85.280354,
134,0.007539,0.007539,0.977911,0.976480,0.976298,0.976368,0.979636,0.671753,0.891345,0.929727,0.948505,85.323178,
135,0.002091,0.012157,0.977944,0.976492,0.976284,0.976513,0.979626,0.671658,0.891552,0.929917,0.948611,85.339756,
136,0.001458,0.002091,0.978218,0.976578,0.976724,0.976965,0.979780,0.674911,0.893932,0.931538,0.949649,85.543185,
137,0.001458,0.001458,0.979297,0.976831,0.978339,0.979491,0.980021,0.688912,0.908068,0.941818,0.957434,86.810655,
138,0.011448,0.011448,0.979348,0.976756,0.978425,0.979567,0.980071,0.690091,0.908837,0.942353,0.957631,86.872097,
139,0.001935,0.011906,0.979251,0.976792,0.978523,0.979739,0.979727,0.689507,0.909019,0.942639,0.957782,86.864103,
140,0.001340,0.001935,0.979231,0.976735,0.978543,0.979775,0.979670,0.690060,0.909341,0.942859,0.957940,86.880512,
141,0.001340,0.001340,0.979291,0.976820,0.978583,0.979815,0.979743,0.690155,0.909460,0.942933,0.957965,86.898555,
142,0.010195,0.010195,0.979234,0.976798,0.978580,0.979777,0.979648,0.689967,0.909447,0.942926,0.958058,86.904827,
143,0.001946,0.011947,0.979333,0.976824,0.978507,0.979770,0.979883,0.689785,0.909433,0.942915,0.958081,86.917021,
144,0.001262,0.001946,0.980824,0.980236,0.980775,0.981316,0.980681,0.709238,0.923973,0.952300,0.964104,88.111053,
145,0.001262,0.001262,0.980958,0.980441,0.980982,0.981514,0.980739,0.710279,0.924416,0.952595,0.964266,88.165011,
146,0.011073,0.011073,0.980927,0.980416,0.980819,0.981555,0.980714,0.710454,0.924611,0.952668,0.964273,88.175087,
147,0.002310,0.016193,0.980984,0.980627,0.980564,0.981740,0.980774,0.710966,0.925094,0.952822,0.964490,88.199981,
148,0.001459,0.002310,0.981004,0.980494,0.980469,0.981763,0.980866,0.711646,0.925297,0.952946,0.964600,88.216991,
149,0.001459,0.001459,0.981071,0.980623,0.980564,0.981823,0.980913,0.712004,0.925451,0.953061,0.964666,88.241275,
150,0.012681,0.012681,0.982107,0.983150,0.982861,0.983324,0.980945,0.733798,0.940356,0.962221,0.970664,89.360440,
151,0.003026,0.014564,0.982213,0.983078,0.982888,0.983310,0.981183,0.734027,0.940649,0.962402,0.970831,89.392368,
152,0.001512,0.003026,0.982202,0.983201,0.982929,0.983264,0.981146,0.734464,0.940763,0.962416,0.970757,89.382714,
153,0.001512,0.001512,0.982218,0.983197,0.982905,0.983311,0.981162,0.734642,0.940848,0.962487,0.970813,89.393598,
154,0.012505,0.012701,0.982195,0.983225,0.982843,0.983395,0.981083,0.734498,0.940896,0.962546,0.970819,89.406480,
155,0.002569,0.012505,0.982240,0.983310,0.982903,0.983300,0.981193,0.734595,0.941074,0.962633,0.970852,89.409906,
156,0.001054,0.002569,0.982256,0.983405,0.982871,0.983231,0.981258,0.735523,0.941353,0.962839,0.970963,89.428924,
157,0.001054,0.001054,0.982287,0.983460,0.982838,0.983293,0.981289,0.735711,0.941434,0.962899,0.970984,89.439951,
158,0.011562,0.011562,0.982138,0.983695,0.982739,0.982677,0.981309,0.735772,0.941488,0.962911,0.971114,89.432407,
159,0.002925,0.013169,0.982248,0.983751,0.982789,0.982779,0.981455,0.735995,0.941724,0.963110,0.971179,89.459042,
160,0.001205,0.002925,0.982268,0.983853,0.982828,0.982812,0.981444,0.736552,0.941834,0.963138,0.971159,89.460514,
161,0.001205,0.001205,0.982351,0.984074,0.982848,0.982922,0.981506,0.736840,0.941943,0.963223,0.971144,89.481102,
162,0.010915,0.010915,0.982342,0.984080,0.982853,0.982966,0.981460,0.737311,0.942143,0.963345,0.971251,89.505682,
163,0.002541,0.014052,0.983296,0.984620,0.983640,0.984377,0.982297,0.748058,0.946937,0.965925,0.972960,89.952076,
164,0.001232,0.002541,0.983396,0.984585,0.983707,0.984434,0.982459,0.748523,0.946976,0.965904,0.972916,89.967176,
165,0.001232,0.001232,0.983400,0.984564,0.983779,0.984393,0.982471,0.748686,0.947049,0.965950,0.972980,89.975254,
166,0.011450,0.012558,0.983289,0.984514,0.983553,0.984337,0.982357,0.748558,0.947038,0.965947,0.972965,89.963532,
167,0.002260,0.011450,0.983273,0.984342,0.983773,0.984182,0.982369,0.748677,0.947234,0.966130,0.973002,89.959367,
168,0.000697,0.002260,0.983646,0.984546,0.984315,0.984741,0.982611,0.752498,0.948737,0.966819,0.973313,90.093840,
169,0.000697,0.000697,0.984394,0.984905,0.985090,0.986012,0.983133,0.761813,0.953592,0.969577,0.975167,90.530435,
170,0.009438,0.009438,0.984373,0.984885,0.985066,0.986043,0.983084,0.761892,0.953689,0.969609,0.975242,90.545058,
171,0.002586,0.012426,0.984450,0.984878,0.985009,0.986061,0.983258,0.762034,0.953820,0.969724,0.975308,90.563325,
172,0.000749,0.002586,0.984522,0.984957,0.985208,0.986113,0.983293,0.762737,0.953957,0.969772,0.975275,90.575677,
173,0.000749,0.000749,0.984543,0.984990,0.985258,0.986140,0.983299,0.763144,0.954073,0.969817,0.975335,90.587112,
174,0.010030,0.010030,0.984679,0.985162,0.985477,0.986434,0.983310,0.766163,0.955164,0.970322,0.975598,90.672989,
175,0.001902,0.010623,0.984989,0.985401,0.985692,0.986826,0.983621,0.772334,0.958248,0.972222,0.976914,90.922822,
176,0.000567,0.001902,0.984938,0.985414,0.985736,0.986765,0.983529,0.772752,0.958251,0.972203,0.976851,90.903876,
177,0.000567,0.000567,0.984945,0.985421,0.985761,0.986798,0.983515,0.772896,0.958306,0.972240,0.976897,90.910777,
178,0.008991,0.008991,0.984940,0.985411,0.985699,0.986875,0.983484,0.772857,0.958341,0.972238,0.976848,90.916974,
179,0.001859,0.009798,0.985089,0.985398,0.985739,0.986965,0.983738,0.773041,0.958492,0.972352,0.976976,90.955299,
180,0.000530,0.001859,0.985081,0.985461,0.985837,0.986986,0.983662,0.773599,0.958578,0.972391,0.977008,90.956053,
181,0.000530,0.000530,0.985098,0.985386,0.985909,0.987049,0.983652,0.773881,0.958654,0.972439,0.976993,90.960652,
182,0.008548,0.008548,0.985188,0.985662,0.986118,0.987260,0.983595,0.782696,0.961993,0.974334,0.978216,91.176874,
183,0.001761,0.008749,0.985265,0.985613,0.986145,0.987298,0.983738,0.783040,0.962141,0.974412,0.978302,91.195193,
184,0.000311,0.001761,0.985225,0.985564,0.986134,0.987247,0.983695,0.783328,0.962145,0.974365,0.978306,91.182619,
185,0.000311,0.000311,0.985229,0.985617,0.986077,0.987256,0.983708,0.783427,0.962195,0.974434,0.978370,91.191762,
186,0.006742,0.006742,0.985195,0.985608,0.986116,0.987286,0.983608,0.783391,0.962193,0.974448,0.978378,91.194223,
187,0.001149,0.007046,0.985278,0.985691,0.986182,0.987351,0.983706,0.783471,0.962233,0.974496,0.978427,91.210742,
188,0.000203,0.001149,0.985787,0.987315,0.986773,0.987806,0.983992,0.794104,0.964902,0.975844,0.979294,91.451402,
189,0.000203,0.000203,0.985857,0.987775,0.986649,0.987837,0.984072,0.795192,0.965116,0.975966,0.979355,91.476882,
190,0.005943,0.005943,0.985809,0.987843,0.986618,0.987803,0.983988,0.795344,0.965145,0.975940,0.979331,91.471236,
191,0.001430,0.007060,0.985904,0.987893,0.986615,0.987930,0.984107,0.795584,0.965265,0.976032,0.979336,91.490466,
192,0.000229,0.001430,0.985879,0.987998,0.986580,0.987915,0.984052,0.796990,0.965539,0.976147,0.979344,91.489336,
193,0.000229,0.000229,0.985950,0.988182,0.986691,0.988006,0.984077,0.798098,0.965803,0.976271,0.979425,91.517134,
194,0.005121,0.005121,0.985992,0.988443,0.986802,0.987993,0.984080,0.800537,0.966357,0.976517,0.979588,91.557220,
195,0.001120,0.006687,0.986126,0.988694,0.987042,0.988088,0.984175,0.804147,0.967564,0.977287,0.980037,91.653121,
196,0.000133,0.001120,0.986132,0.988766,0.987044,0.988138,0.984145,0.804930,0.967635,0.977310,0.980076,91.657241,
197,0.000133,0.000133,0.986139,0.988842,0.986984,0.988144,0.984162,0.805334,0.967709,0.977366,0.980108,91.663855,
198,0.004956,0.004956,0.986025,0.988772,0.987051,0.987907,0.984046,0.805517,0.967761,0.977440,0.979999,91.640286,
199,0.000972,0.004970,0.986056,0.988743,0.987098,0.987840,0.984139,0.805713,0.967874,0.977476,0.980098,91.651535,
200,0.000135,0.000972,0.986255,0.988966,0.987141,0.987916,0.984457,0.806645,0.967935,0.977479,0.980193,91.700937,
201,0.000135,0.000135,0.986909,0.989926,0.988308,0.988102,0.985134,0.809461,0.968692,0.977971,0.980492,91.889645,
202,0.003415,0.004072,0.986893,0.989992,0.988304,0.988057,0.985115,0.809495,0.968676,0.977957,0.980488,91.889694,
203,0.000785,0.003415,0.986942,0.989902,0.988347,0.988131,0.985179,0.809637,0.968795,0.978106,0.980570,91.910102,
204,0.000106,0.000785,0.987024,0.989993,0.988445,0.988129,0.985302,0.809836,0.968721,0.977997,0.980485,91.915134,
205,0.000106,0.000106,0.987046,0.989988,0.988506,0.988139,0.985321,0.809932,0.968750,0.978016,0.980497,91.921628,
206,0.002649,0.002649,0.987029,0.990032,0.988454,0.988162,0.985284,0.810164,0.968825,0.978016,0.980549,91.925865,
207,0.000838,0.004196,0.987048,0.990120,0.988526,0.988201,0.985258,0.811335,0.969205,0.978241,0.980759,91.955023,
208,0.000111,0.000838,0.987073,0.990230,0.988498,0.988233,0.985280,0.811635,0.969210,0.978223,0.980751,91.957945,
209,0.000111,0.000111,0.987109,0.990206,0.988586,0.988258,0.985316,0.811688,0.969228,0.978219,0.980755,91.965907,
210,0.003642,0.003642,0.987095,0.990212,0.988475,0.988263,0.985321,0.811740,0.969244,0.978239,0.980726,91.966132,
211,0.001199,0.004692,0.987119,0.990166,0.988453,0.988314,0.985361,0.811886,0.969328,0.978299,0.980742,91.972361,
212,0.000117,0.001199,0.987253,0.990287,0.988756,0.988479,0.985421,0.815087,0.969894,0.978497,0.980882,92.020707,
213,0.000117,0.000117,0.987445,0.990391,0.988895,0.988758,0.985599,0.818587,0.970788,0.978984,0.981181,92.109503,
214,0.003293,0.003293,0.987447,0.990418,0.988964,0.988872,0.985509,0.819360,0.970871,0.979005,0.981162,92.113613,
215,0.000838,0.003988,0.987557,0.990393,0.988965,0.989066,0.985639,0.819864,0.971081,0.979146,0.981273,92.150060,
